"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","RaspberryPi_Pico","","","","Module:RaspberryPi_Pico_Common_Unspecified","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf"
"J1","1","SPI","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~"
"J2","1","Serial Console","","","","Grove:Grove_4Pin_THT_2.00mm",""
"J3","1","REPL","","","","Grove:Grove_4Pin_THT_2.00mm",""
"J4","1","Grove_Buzzer","","","","Grove:Grove_4Pin_THT_2.00mm",""
"J5","1","DE9_Pins","","","","Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm","~"
"J6","1","UART(RS-232C)","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~"
"J7","1","I2C","","","","Grove:Grove_4Pin_THT_2.00mm",""
"J8","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"U1","1","MSP4021","","","","MSP4021:MSP4021","http://www.lcdwiki.com/2.8inch_SPI_Module_ILI9341_SKU:MSP2807"
